FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
A2V-16_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    2383.2         6.662e-04       6.4      1.12     NO*
     560.8         6.693e-04       1.3      1.03     yes
     986.5         6.736e-04       1.4      1.03     yes
    2131.0         6.857e-04       1.6      1.05     yes
    2085.0         6.891e-04       2.4      1.00     yes
     491.2         6.937e-04       1.2      1.05     yes
     809.2         6.951e-04       1.5      1.06     yes
    2332.0         6.973e-04       1.5      1.17     yes
    1306.2         6.974e-04       1.0      1.00     yes
    2286.0         6.977e-04       2.8      1.01     yes
     784.0         7.023e-04       2.0      1.06     yes
    2174.0         7.080e-04       1.2      1.12     yes
     940.2         7.083e-04      16.2      1.02     NO*
    2310.2         7.104e-04       1.1      1.20     yes
    1140.8         7.119e-04       0.8      1.13     yes
    1094.2         7.135e-04       1.0      1.00     yes
     382.0         7.136e-04       1.6      1.00     yes
     527.0         7.196e-04       1.5      1.07     yes
    2264.5         7.212e-04       1.2      1.06     yes
    1258.2         7.223e-04       1.0      1.01     yes
    2028.8         7.248e-04       1.4      1.03     yes
    2192.8         7.368e-04       1.5      1.00     yes
     739.8         7.372e-04       1.7      1.09     yes
    2062.0         7.392e-04       2.1      1.04     yes
    2240.8         7.398e-04       1.4      1.13     yes
    1944.2         7.400e-04       1.2      1.00     yes
     583.0         7.429e-04       3.4      1.04     yes
    1278.0         7.437e-04       1.2      1.01     yes
     471.0         7.438e-04       1.6      1.06     yes
    1077.0         7.446e-04       3.1      1.03     yes
    1166.0         7.454e-04       1.4      1.00     yes
     290.8         7.462e-04       1.8      1.02     yes
    2467.0         7.493e-04       6.4      1.02     NO*
    1367.0         7.549e-04       0.9      1.07     yes
     874.5         7.565e-04       1.4      1.08     yes
     919.0         7.624e-04      14.6      1.03     NO*
    2441.2         7.636e-04       5.1      1.02     yes
    1973.0         7.650e-04       1.6      1.11     yes
    2489.2         7.705e-04       1.3      1.01     yes
     655.2         7.707e-04       0.6      1.00     yes
     270.0         7.764e-04       1.4      1.12     yes
    1955.8         7.815e-04       1.0      1.00     yes
    2421.0         7.843e-04       1.0      1.01     yes
    1031.0         7.851e-04       5.7      1.17     yes
     830.0         7.886e-04       4.6      1.05     yes
    1331.2         7.894e-04       1.9      1.06     yes
    1389.2         7.902e-04       1.1      1.04     yes
     761.2         7.911e-04       6.6      1.11     NO*
    1222.0         7.932e-04       1.6      1.00     yes
     313.0         7.959e-04       1.3      1.01     yes
    1009.8         7.980e-04       3.4      1.03     yes
    1057.8         8.008e-04       1.0      1.00     yes
    1188.8         8.015e-04       1.4      1.00     yes
    2156.2         8.023e-04       0.8      1.00     yes
