BPW34_2,Inano_1,Inano_2
-0.04917799262446654,-0.04636864161580018,-0.17653657451679522
-0.04971256309281313,-0.04702488804597049,-0.17509205540105735
-0.05021956184883719,-0.047620322791738445,-0.1736416010889905
-0.050698394279351966,-0.04815604279508945,-0.17218383608923063
-0.05114849853312248,-0.04863306469014639,-0.1707173801338163
-0.05156932102995576,-0.049052363503237884,-0.16924074662569646
-0.05196031954921654,-0.04941484754739883,-0.1677523634688935
-0.05232098665120977,-0.049721390270608956,-0.16625072372180105
-0.05265081131209576,-0.04997282748673604,-0.16473418730105477
-0.05294932728274426,-0.050169958572519435,-0.1632012385031483
-0.053216076601842355,-0.05031357225827843,-0.1616503154937797
-0.05345063145546086,-0.05040442844238502,-0.1600799073657049
-0.05365260317994458,-0.05044328855074082,-0.15848862153959967
-0.05382161464268276,-0.050430906260112485,-0.156875032858273
-0.05395734908806821,-0.050368038080026434,-0.15523792883112703
-0.054059505478046166,-0.05025545657990349,-0.1535760993764455
-0.05412783661997095,-0.05009394065618766,-0.15188850032825296
-0.0541621404196731,-0.049884299669404775,-0.15017423436763805
-0.054162247277872944,-0.04962736210124319,-0.14843246617632333
-0.054128061278111095,-0.04932399035675755,-0.14666262618361825
-0.054059512785003094,-0.04897508343960427,-0.1448641880955659
-0.05395660744031949,-0.048581574662708904,-0.14303687593651265
-0.05381939921201606,-0.048144446696821275,-0.1411805637467376
-0.05364799487779914,-0.047664721242191954,-0.13929526402277254
-0.05344258046515826,-0.04714347295407251,-0.13738126589898197
-0.0532033774039653,-0.046581824623324,-0.13543892788044865
-0.05293069520585969,-0.04598094961227395,-0.13346890027663588
-0.05262488906834156,-0.04534207725728673,-0.13147195947315293
-0.05228638103262917,-0.04466648506953297,-0.1294490670260499
-0.05191566705361739,-0.04395550805612186,-0.1274014284189351
-0.05151328282039369,-0.04321052980025453,-0.12533032545609368
-0.05107985244615176,-0.042432986334248635,-0.1232373259208338
-0.050616036137053566,-0.04162436343491266,-0.12112407646384549
-0.0501225651693773,-0.04078619142876999,-0.11899242112876562
-0.04960022820761534,-0.0399200482733435,-0.11684437852721197
-0.049049851626728924,-0.03902754951869625,-0.11468203211969785
-0.048472337330254245,-0.038110350856780995,-0.1125077028265501
-0.04786860774745427,-0.03717014026392157,-0.11032372868654339
-0.04723964980080764,-0.03620863453805956,-0.10813262503760462
-0.046586482481376756,-0.03522757674484811,-0.10593698880215857
-0.04591015439046808,-0.034228727109708645,-0.10373945640396504
-0.045211765665226555,-0.03321386280143113,-0.10154282167029777
-0.044492418029759895,-0.03218476829347516,-0.09934983008286907
-0.04375326171584504,-0.03114323236845351,-0.0971633589656602
-0.04299544923367882,-0.030091042197730178,-0.09498626603674953
