FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
BPW34_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    1992.2         4.514e-03       4.1      1.00     yes
    1791.8         9.914e-03       1.9      1.16     yes
    1861.2         1.097e-02      24.7     25.32     NO*
  consensus floor = 5.016e-04 mV^2/Hz over 81 clean bands  ->  Var(n) = 0.0020 mV^2  (RMS 44.8 uV)
  carrier a = 164.424 mV  ->  SNR = 68.3 dB in the 4 Hz demod band

========================================================================
Inano_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
     527.0         3.848e-04      19.3      1.26     NO*
    1057.8         3.902e-04       2.2      1.00     yes
    2332.0         4.030e-04       1.6      1.05     yes
    2441.2         4.052e-04       1.6      1.01     yes
     761.2         4.055e-04      10.7      1.00     NO*
     892.2         4.072e-04       2.0      1.00     yes
     633.8         4.140e-04       1.6      1.05     yes
     857.2         4.241e-04       0.7      1.00     yes
     471.0         4.263e-04       8.9      1.05     NO*
    1222.0         4.271e-04       1.5      1.07     yes
     608.8         4.378e-04       1.4      1.11     yes
    2358.2         4.379e-04       1.4      1.00     yes
    2264.5         4.395e-04       2.5      1.01     yes
    1660.8         4.465e-04       1.3      1.00     yes
    2383.2         4.468e-04       9.4      1.13     NO*
    1188.8         4.473e-04       2.0      1.00     yes
     739.8         4.489e-04       1.6      1.03     yes
    1115.8         4.517e-04       2.1      1.14     yes
    2467.0         4.531e-04      10.8      1.00     NO*
     965.0         4.547e-04       6.2      1.05     NO*
    2192.8         4.576e-04       2.5      1.00     yes
    1637.0         4.605e-04       1.5      1.00     yes
     672.0         4.614e-04      12.2      1.02     NO*
    2310.2         4.639e-04       1.6      1.17     yes
     986.5         4.645e-04       2.6      1.06     yes
     655.2         4.668e-04       1.5      1.00     yes
     874.5         4.701e-04       2.3      1.14     yes
    2286.0         4.709e-04       6.7      1.03     NO*
    2174.0         4.729e-04       2.0      1.25     yes
     560.8         4.731e-04       1.2      1.09     yes
